region,drivmedel,årmånad,antal
15 f.d. Älvsborgs län,bensin,202101,0
15 f.d. Älvsborgs län,bensin,202102,0
15 f.d. Älvsborgs län,bensin,202103,0
15 f.d. Älvsborgs län,bensin,202104,0
15 f.d. Älvsborgs län,bensin,202105,0
15 f.d. Älvsborgs län,bensin,202106,0
15 f.d. Älvsborgs län,bensin,202107,0
15 f.d. Älvsborgs län,bensin,202108,0
15 f.d. Älvsborgs län,bensin,202109,0
15 f.d. Älvsborgs län,bensin,202110,0
15 f.d. Älvsborgs län,bensin,202111,0
15 f.d. Älvsborgs län,bensin,202112,0
15 f.d. Älvsborgs län,bensin,202201,0
15 f.d. Älvsborgs län,bensin,202202,0
15 f.d. Älvsborgs län,diesel,202003,0
15 f.d. Älvsborgs län,diesel,202004,0
15 f.d. Älvsborgs län,diesel,202005,0
15 f.d. Älvsborgs län,diesel,202006,0
15 f.d. Älvsborgs län,diesel,202007,0
15 f.d. Älvsborgs län,diesel,202008,0
15 f.d. Älvsborgs län,diesel,202009,0
15 f.d. Älvsborgs län,diesel,202010,0
15 f.d. Älvsborgs län,diesel,202011,0
15 f.d. Älvsborgs län,diesel,202012,0
15 f.d. Älvsborgs län,diesel,202101,0
15 f.d. Älvsborgs län,diesel,202102,0
15 f.d. Älvsborgs län,diesel,202103,0
15 f.d. Älvsborgs län,diesel,202104,0
15 f.d. Älvsborgs län,diesel,202105,0
15 f.d. Älvsborgs län,diesel,202106,0
15 f.d. Älvsborgs län,diesel,202107,0
15 f.d. Älvsborgs län,diesel,202108,0
15 f.d. Älvsborgs län,diesel,202109,0
15 f.d. Älvsborgs län,diesel,202110,0
15 f.d. Älvsborgs län,diesel,202111,0
15 f.d. Älvsborgs län,diesel,202112,0
15 f.d. Älvsborgs län,diesel,202201,0
15 f.d. Älvsborgs län,diesel,202202,0
16 f.d. Skaraborgs län,bensin,202003,0
16 f.d. Skaraborgs län,bensin,202004,0
16 f.d. Skaraborgs län,bensin,202005,0
16 f.d. Skaraborgs län,bensin,202006,0
16 f.d. Skaraborgs län,bensin,202007,0
16 f.d. Skaraborgs län,bensin,202008,0
16 f.d. Skaraborgs län,bensin,202009,0
16 f.d. Skaraborgs län,bensin,202010,0
16 f.d. Skaraborgs län,bensin,202011,0
16 f.d. Skaraborgs län,bensin,202012,0
16 f.d. Skaraborgs län,bensin,202101,0
16 f.d. Skaraborgs län,bensin,202102,0
16 f.d. Skaraborgs län,bensin,202103,0
16 f.d. Skaraborgs län,bensin,202104,0
16 f.d. Skaraborgs län,bensin,202105,0
16 f.d. Skaraborgs län,bensin,202106,0
16 f.d. Skaraborgs län,bensin,202107,0
16 f.d. Skaraborgs län,bensin,202108,0
16 f.d. Skaraborgs län,bensin,202109,0
16 f.d. Skaraborgs län,bensin,202110,0
16 f.d. Skaraborgs län,bensin,202111,0
16 f.d. Skaraborgs län,bensin,202112,0
16 f.d. Skaraborgs län,bensin,202201,0
16 f.d. Skaraborgs län,bensin,202202,0
16 f.d. Skaraborgs län,diesel,202003,0
16 f.d. Skaraborgs län,diesel,202004,0
16 f.d. Skaraborgs län,diesel,202005,0
16 f.d. Skaraborgs län,diesel,202006,0
16 f.d. Skaraborgs län,diesel,202007,0
16 f.d. Skaraborgs län,diesel,202008,0
16 f.d. Skaraborgs län,diesel,202009,0
16 f.d. Skaraborgs län,diesel,202010,0
16 f.d. Skaraborgs län,diesel,202011,0
16 f.d. Skaraborgs län,diesel,202012,0
16 f.d. Skaraborgs län,diesel,202101,0
16 f.d. Skaraborgs län,diesel,202102,0
16 f.d. Skaraborgs län,diesel,202103,0
16 f.d. Skaraborgs län,diesel,202104,0
16 f.d. Skaraborgs län,diesel,202105,0
16 f.d. Skaraborgs län,diesel,202106,0
16 f.d. Skaraborgs län,diesel,202107,0
16 f.d. Skaraborgs län,diesel,202108,0
16 f.d. Skaraborgs län,diesel,202109,0
16 f.d. Skaraborgs län,diesel,202110,0
16 f.d. Skaraborgs län,diesel,202111,0
16 f.d. Skaraborgs län,diesel,202112,0
16 f.d. Skaraborgs län,diesel,202201,0
16 f.d. Skaraborgs län,diesel,202202,0
17 Värmlands län,bensin,202003,267
17 Värmlands län,bensin,202004,243
17 Värmlands län,bensin,202005,211
17 Värmlands län,bensin,202006,326
17 Värmlands län,bensin,202007,232
17 Värmlands län,bensin,202008,303
17 Värmlands län,bensin,202009,292
17 Värmlands län,bensin,202010,256
17 Värmlands län,bensin,202011,205
17 Värmlands län,bensin,202012,182
17 Värmlands län,bensin,202101,209
17 Värmlands län,bensin,202102,253
17 Värmlands län,bensin,202103,384
17 Värmlands län,bensin,202104,223
17 Värmlands län,bensin,202105,200
17 Värmlands län,bensin,202106,239
17 Värmlands län,bensin,202107,177
17 Värmlands län,bensin,202108,198
17 Värmlands län,bensin,202109,159
17 Värmlands län,bensin,202110,155
17 Värmlands län,bensin,202111,173
17 Värmlands län,bensin,202112,147
17 Värmlands län,bensin,202201,174
17 Värmlands län,bensin,202202,279
17 Värmlands län,diesel,202003,187
17 Värmlands län,diesel,202004,164
17 Värmlands län,diesel,202005,124
17 Värmlands län,diesel,202006,139
17 Värmlands län,diesel,202007,179
17 Värmlands län,diesel,202008,141
17 Värmlands län,diesel,202009,187
17 Värmlands län,diesel,202010,148
17 Värmlands län,diesel,202011,156
17 Värmlands län,diesel,202012,259
17 Värmlands län,diesel,202101,120
17 Värmlands län,diesel,202102,137
17 Värmlands län,diesel,202103,291
17 Värmlands län,diesel,202104,97
17 Värmlands län,diesel,202105,108
17 Värmlands län,diesel,202106,148
17 Värmlands län,diesel,202107,87
17 Värmlands län,diesel,202108,90
17 Värmlands län,diesel,202109,93
17 Värmlands län,diesel,202110,71
17 Värmlands län,diesel,202111,96
17 Värmlands län,diesel,202112,139
17 Värmlands län,diesel,202201,102
17 Värmlands län,diesel,202202,137
18 Örebro län,bensin,202003,272
18 Örebro län,bensin,202004,201
18 Örebro län,bensin,202005,157
18 Örebro län,bensin,202006,233
18 Örebro län,bensin,202007,242
18 Örebro län,bensin,202008,217
